Repair type,Repair name,Description,Reparaturtyp,Reparaturname,Beschreibung,Duration (minutes),Price in Euro
Investigation,Investigation,Further investigation is required when you're unsure what your device's issue is.,Untersuchung,Untersuchung,Eine weitere Untersuchung ist erforderlich wenn Sie sich nicht sicher sind was das Problem Ihres Geräts ist.,30,0.00
Water Damage,Water Damage,Your device was in contact with water or another liquid.,Wasserschaden,Wasserschaden,Ihr Gerät war in Kontakt mit Wasser oder einer anderen Flüssigkeit.,30,49.95
Screen & Glass,Screen,Your screen is cracked doesn't respond properly or displays horizontal/vertical lines and/or unusual colors.,Display & Glas,Display,Ihr Display ist gesprungen reagiert nicht richtig oder zeigt horizontale/vertikale Linien und/oder ungewöhnliche Farben an.,30,274.95
Battery & Charging,Battery,The battery life of your device is very short or your device keeps turning off.,Akku & Laden,Akku,Die Akkulaufzeit Ihres Geräts ist sehr kurz oder Ihr Gerät schaltet sich ständig aus.,30,89.95
Battery & Charging,Charging Port,Your device is unable to charge and/or connect to your computer.,Akku & Laden,Ladeanschluss,Ihr Gerät kann nicht aufgeladen werden und/oder sich nicht mit Ihrem Computer verbinden.,30,104.95
Housing & Buttons,Housing / Midframe,There is damage such as a dent along your device's edge(s). In some cases the back cover must also be replaced.,Gehäuse & Tasten,Gehäuse / Mittelrahmen,Es gibt Schäden wie eine Delle an den Kanten Ihres Geräts. In einigen Fällen muss auch die Rückabdeckung ersetzt werden.,30,204.95
Housing & Buttons,Volume Button(s),The volume button is damaged or doesn't respond.,Gehäuse & Tasten,Lautstärketaste(n),Die Lautstärketaste ist beschädigt oder reagiert nicht.,30,74.95
Housing & Buttons,Power Button,The power button can't be pressed or doesn't respond.,Gehäuse & Tasten,Ein-/Aus-Taste,Die Ein-/Aus-Taste lässt sich nicht drücken oder reagiert nicht.,30,74.95
Sound & Microphones,Earspeaker,You can't hear the other person on a phone call.,Ton & Mikrofone,Ohrlautsprecher,Sie können die andere Person bei einem Anruf nicht hören.,30,74.95
Sound & Microphones,Microphone (calling),During phonecalls the other person can't hear you or they complain the sound quality is bad.,Ton & Mikrofone,Mikrofon (Anrufe),Während Telefonaten kann die andere Person Sie nicht hören oder beschwert sich über schlechte Tonqualität.,30,154.95
Sound & Microphones,Loudspeaker,When playing media the sound quality is bad or there's no sound at all.,Ton & Mikrofone,Lautsprecher,Beim Abspielen von Medien ist die Tonqualität schlecht oder es gibt überhaupt keinen Ton.,30,69.95
Software & Backup,Update or Erase Software,Update your device with the latest software or erase all personal data.,Software & Backup,Software aktualisieren oder löschen,Aktualisieren Sie Ihr Gerät mit der neuesten Software oder löschen Sie alle persönlichen Daten.,30,29.95
Software & Backup,Remove Reset Lock,You're unable to unlock your device. In some cases data may be lost.,Software & Backup,Zurücksetzsperre entfernen,Sie können Ihr Gerät nicht entsperren. In einigen Fällen können Daten verloren gehen.,30,29.95
Software & Backup,Change to a new device,Switch over to a new device without losing any files or data.,Software & Backup,Wechsel zu einem neuen Gerät,Wechseln Sie zu einem neuen Gerät ohne Dateien oder Daten zu verlieren.,30,29.95
Camera & Flash,Back-facing Camera,The back-facing camera doesn't take pictures or display a blurry picture quality.,Kamera & Blitz,Rückseitige Kamera,Die rückseitige Kamera macht keine Bilder oder zeigt eine unscharfe Bildqualität.,30,124.95
Camera & Flash,Camera Lens,Your lens is cracked or has dust under it. In some cases the whole back cover must be replaced.,Kamera & Blitz,Kameralinse,Ihre Linse ist gesprungen oder hat Staub darunter. In einigen Fällen muss die gesamte Rückabdeckung ersetzt werden.,30,64.95
Camera & Flash,Front-facing Camera,The front-facing camera doesn't take pictures or display blurry picture quality.,Kamera & Blitz,Frontkamera,Die Frontkamera macht keine Bilder oder zeigt eine unscharfe Bildqualität.,30,104.95
Camera & Flash,Flash,Your device's flashlight does not work.,Kamera & Blitz,Blitz,Die Taschenlampe Ihres Geräts funktioniert nicht.,30,99.95
Sensor & Vibration,Proximity Sensor,During phonecalls your screen doesn't go black or the screen lock stays on/off until the end of the call.,Sensor & Vibration,Näherungssensor,Während Telefonaten wird Ihr Bildschirm nicht schwarz oder die Bildschirmsperre bleibt bis zum Ende des Anrufs an/aus.,30,Price on request
Sensor & Vibration,Vibrator,Your device doesn't vibrate properly during calls or notifications.,Sensor & Vibration,Vibrationsmotor,Ihr Gerät vibriert nicht richtig bei Anrufen oder Benachrichtigungen.,30,64.95
Antenna & Card Reader,Bluetooth Antenna,Your device fails to establish bluetooth connections. In some cases further investigation is required.,Antenne & Kartenleser,Bluetooth-Antenne,Ihr Gerät kann keine Bluetooth-Verbindungen herstellen. In einigen Fällen ist eine weitere Untersuchung erforderlich.,30,69.95
Antenna & Card Reader,SIM Card Reader,Your device fails to recognize the SIM card or internal pins of the SIM card reader are damaged.,Antenne & Kartenleser,SIM-Kartenleser,Ihr Gerät erkennt die SIM-Karte nicht oder die internen Pins des SIM-Kartenlesers sind beschädigt.,30,Price on request
